timestamp,position_x,position_y,position_z,tof_distance,left_data,right_data
1723217048.6753914,0.25423,-0.01076,0.0,1652,22.546489563567363,15.368319691863265
1723217048.7930262,0.3451,-0.01315,0.0,1637,22.546489563567363,15.368319691863265
1723217048.8860931,0.39818,-0.01428,0.0,1588,22.546489563567363,15.368319691863265
1723217049.0797377,0.44496,-0.01618,0.0,1464,22.546489563567363,15.368319691863265
1723217049.2051601,0.53189,-0.01895,0.0,1421,22.546489563567363,15.368319691863265
1723217049.2895908,0.58158,-0.02025,0.0,1395,22.546489563567363,15.368319691863265
1723217049.492921,0.63119,-0.02155,0.0,1327,22.546489563567363,15.368319691863265
1723217049.501427,0.67783,-0.02293,0.0,1266,22.546489563567363,15.368319691863265
1723217049.604622,0.72286,-0.02453,0.0,1215,23.400379506641364,15.62326885496616
1723217049.7029328,0.79424,-0.02693,0.0,1167,23.400379506641364,15.62326885496616
1723217049.9013076,0.88977,-0.03022,0.0,1095,23.400379506641364,15.62326885496616
1723217050.0254881,0.9357,-0.03165,0.0,1069,23.400379506641364,15.62326885496616
1723217050.1625814,0.9822,-0.03299,0.0,1014,23.400379506641364,15.62326885496616
1723217050.2344482,1.02958,-0.0343,0.0,939,23.400379506641364,15.62326885496616
1723217050.3073773,1.0772,-0.03592,0.0,889,23.400379506641364,15.62326885496616
1723217050.4489255,1.12396,-0.03693,0.0,838,23.400379506641364,15.62326885496616
1723217050.5282063,1.17047,-0.03812,0.0,787,22.309297912713475,14.525758305247955
1723217050.601805,1.21738,-0.03954,0.0,735,22.309297912713475,14.525758305247955
1723217050.7013726,1.26492,-0.04073,0.0,684,22.309297912713475,14.525758305247955
1723217050.824875,1.31182,-0.04195,0.0,636,22.309297912713475,14.525758305247955
1723217050.9468064,1.35574,-0.04338,0.0,574,22.309297912713475,14.525758305247955
1723217051.1309364,1.37355,-0.04475,0.0,520,22.309297912713475,14.525758305247955
1723217051.1457274,1.3804,-0.04431,0.0,470,22.309297912713475,14.525758305247955
1723217051.2784138,1.38526,-0.04383,0.0,420,22.309297912713475,14.525758305247955
1723217051.3320763,1.38981,-0.04359,0.0,369,22.309297912713475,14.525758305247955
1723217051.5453274,1.39294,-0.04334,0.0,317,25.20303605313093,16.196068990908834
1723217051.7473426,1.39442,-0.04361,0.0,245,25.20303605313093,16.196068990908834
1723217051.7706866,1.39283,-0.04326,0.0,189,25.20303605313093,16.196068990908834
1723217051.8656805,1.39173,-0.04315,0.0,160,25.20303605313093,16.196068990908834
1723217051.968043,1.39189,-0.04317,0.0,144,25.20303605313093,16.196068990908834
1723217052.1525004,1.39233,-0.0432,0.0,136,25.20303605313093,16.196068990908834
1723217052.1676784,1.39271,-0.04295,0.0,130,25.20303605313093,16.196068990908834
1723217052.2905369,1.39286,-0.0428,0.0,125,25.20303605313093,16.196068990908834
1723217052.366876,1.39259,-0.04245,0.0,122,25.20303605313093,16.196068990908834
1723217052.56577,1.39198,-0.0423,0.0,120,25.01328273244782,16.19323685179416
1723217052.7699363,1.39201,-0.0423,0.0,123,25.01328273244782,16.19323685179416
1723217052.7862823,1.39212,-0.04231,0.0,125,25.01328273244782,16.19323685179416
1723217052.9904158,1.39242,-0.04237,0.0,124,25.01328273244782,16.19323685179416
1723217053.1770082,1.3925,-0.04237,0.0,127,25.01328273244782,16.19323685179416
1723217053.1878471,1.39264,-0.04238,0.0,128,25.01328273244782,16.19323685179416
1723217053.2980423,1.39273,-0.04238,0.0,130,25.01328273244782,16.19323685179416
1723217053.3813307,1.39283,-0.04245,0.0,133,25.01328273244782,16.19323685179416
1723217053.589569,1.39296,-0.04247,0.0,140,24.870967741935488,15.719561584865053
1723217053.605458,1.39303,-0.04245,0.0,145,24.870967741935488,15.719561584865053
1723217053.7948155,1.39308,-0.04248,0.0,151,24.870967741935488,15.719561584865053
1723217053.7992175,1.39316,-0.04253,0.0,173,24.870967741935488,15.719561584865053
1723217053.9988265,1.39319,-0.04256,0.0,183,24.870967741935488,15.719561584865053
1723217054.005176,1.39326,-0.04252,0.0,197,24.870967741935488,15.719561584865053
1723217054.2079046,1.3934,-0.04253,0.0,208,24.870967741935488,15.719561584865053
1723217054.3077047,1.39344,-0.04252,0.0,220,24.870967741935488,15.719561584865053
1723217054.4089906,1.39349,-0.04249,0.0,233,24.870967741935488,15.719561584865053
1723217054.612824,1.39353,-0.04247,0.0,270,24.918406072106265,16.29023761647172
1723217054.620843,1.39358,-0.04249,0.0,291,24.918406072106265,16.29023761647172
1723217054.8233328,1.39369,-0.04246,0.0,320,24.918406072106265,16.29023761647172
1723217055.0343661,1.39371,-0.0424,0.0,356,24.918406072106265,16.29023761647172
1723217055.2312024,1.39384,-0.04241,0.0,397,24.918406072106265,16.29023761647172
1723217055.3075016,1.39383,-0.04275,0.0,527,24.918406072106265,16.29023761647172
1723217055.3675416,1.39339,-0.0431,0.0,624,24.918406072106265,16.29023761647172
1723217055.636475,1.39248,-0.0441,0.0,778,24.918406072106265,16.29023761647172
1723217055.8402698,1.39254,-0.04415,0.0,972,24.633776091081593,14.79056331246991
1723217056.047598,1.393,-0.04459,0.0,1195,24.633776091081593,14.79056331246991
1723217056.06656,1.39302,-0.04464,0.0,1451,24.633776091081593,14.79056331246991
1723217056.0868645,1.39403,-0.04486,0.0,1427,24.633776091081593,14.79056331246991
1723217056.2527862,1.39268,-0.04432,0.0,1425,24.633776091081593,14.79056331246991
1723217056.3346868,1.39374,-0.04406,0.0,1423,24.633776091081593,14.79056331246991
1723217056.4544148,1.39371,-0.04344,0.0,1424,24.633776091081593,14.79056331246991
1723217056.4861052,1.39428,-0.04231,0.0,1425,24.633776091081593,14.79056331246991
1723217056.6627204,1.39425,-0.04277,0.0,1425,16.170579738876775,17.850094876660343
1723217056.7137237,1.39534,-0.04435,0.0,1430,16.170579738876775,17.850094876660343
1723217056.8698199,1.39683,-0.04545,0.0,1429,16.170579738876775,17.850094876660343
1723217056.8859866,1.39442,-0.04291,0.0,1429,16.170579738876775,17.850094876660343
1723217057.066754,1.39426,-0.04257,0.0,1426,16.170579738876775,17.850094876660343
1723217057.13491,1.39555,-0.04354,0.0,1431,16.170579738876775,17.850094876660343
1723217057.2755125,1.39657,-0.04314,0.0,1427,16.170579738876775,17.850094876660343
1723217057.3405447,1.39617,-0.04312,0.0,1429,16.743379874819453,20.174573055028468
1723217057.4865751,1.39446,-0.04302,0.0,1426,16.743379874819453,20.174573055028468
1723217057.5080462,1.39453,-0.04222,0.0,1431,16.743379874819453,20.174573055028468
1723217057.6838133,1.39714,-0.04221,0.0,1425,16.743379874819453,20.174573055028468
1723217057.7011428,1.39736,-0.04151,0.0,1425,16.743379874819453,20.174573055028468
1723217057.88828,1.39728,-0.04144,0.0,1428,16.743379874819453,20.174573055028468
1723217057.9116385,1.39594,-0.04186,0.0,1428,16.743379874819453,20.174573055028468
1723217058.0918834,1.3974,-0.04162,0.0,1429,13.49061145883486,13.370245546461243
1723217058.2987382,1.39849,-0.04234,0.0,1432,13.49061145883486,13.370245546461243
1723217058.3246162,1.39605,-0.04141,0.0,1431,13.49061145883486,13.370245546461243
1723217058.5041459,1.39537,-0.04013,0.0,1427,13.49061145883486,13.370245546461243
1723217058.5272732,1.39411,-0.03961,0.0,1433,13.49061145883486,13.370245546461243
1723217058.7108462,1.39407,-0.0398,0.0,1441,13.49061145883486,13.370245546461243
1723217058.7269788,1.3941,-0.04048,0.0,1443,13.49061145883486,13.370245546461243
1723217058.8272595,1.39405,-0.04054,0.0,1442,13.49061145883486,13.370245546461243
1723217059.0429344,1.39461,-0.04077,0.0,1434,13.49061145883486,13.370245546461243
1723217059.1686022,1.39476,-0.04084,0.0,1431,13.610977371208476,13.418391911410689
1723217059.3021002,1.39487,-0.01242,0.0,1427,13.610977371208476,13.418391911410689
1723217059.3435314,1.39705,0.05021,0.0,1428,13.610977371208476,13.418391911410689
1723217059.4511316,1.39921,0.11507,0.0,1422,13.610977371208476,13.418391911410689
1723217059.5950084,1.40291,0.18862,0.0,1416,13.610977371208476,13.418391911410689
1723217059.7233949,1.40412,0.22528,0.0,1411,13.610977371208476,13.418391911410689
1723217059.84138,1.40505,0.26807,0.0,1416,13.610977371208476,13.418391911410689
1723217059.9477134,1.40748,0.37188,0.0,1412,13.610977371208476,13.418391911410689
1723217060.0824716,1.40916,0.41706,0.0,1411,13.610977371208476,13.418391911410689
1723217060.2249768,1.41,0.46023,0.0,1413,13.610977371208476,13.418391911410689
1723217060.2482204,1.41079,0.50665,0.0,1413,14.838709677419356,14.838709677419356
1723217060.366847,1.41193,0.55645,0.0,1397,14.838709677419356,14.838709677419356
1723217060.5073938,1.41312,0.60558,0.0,1355,14.838709677419356,14.838709677419356
1723217060.6196764,1.41465,0.65174,0.0,1293,14.838709677419356,14.838709677419356
1723217060.7475152,1.41564,0.69711,0.0,1238,14.838709677419356,14.838709677419356
1723217060.75369,1.41717,0.74447,0.0,1194,14.838709677419356,14.838709677419356
1723217060.8756459,1.41886,0.79269,0.0,1152,14.838709677419356,14.838709677419356
1723217060.9687505,1.42033,0.84039,0.0,1101,14.838709677419356,14.838709677419356
1723217061.1243365,1.42132,0.88743,0.0,1043,14.838709677419356,14.838709677419356
1723217061.2480924,1.42206,0.93378,0.0,990,14.838709677419356,14.838709677419356
1723217061.265661,1.42296,0.98017,0.0,943,14.93500240731825,21.02846299810247
1723217061.3865223,1.42382,1.02786,0.0,896,14.93500240731825,21.02846299810247
1723217061.5879545,1.42682,1.09673,0.0,846,14.93500240731825,21.02846299810247
1723217061.7811363,1.42669,1.10307,0.0,797,14.93500240731825,21.02846299810247
1723217061.9062383,1.42693,1.11058,0.0,746,14.93500240731825,21.02846299810247
1723217062.190287,1.42683,1.11355,0.0,700,14.93500240731825,21.02846299810247
1723217062.2048457,1.42669,1.11871,0.0,651,14.93500240731825,21.02846299810247
1723217062.3981898,1.42647,1.11989,0.0,603,14.93500240731825,21.02846299810247
1723217062.6012404,1.4264,1.12024,0.0,524,14.93500240731825,21.02846299810247
